date,time,match,referee,score,home_goals,away_goals,home_team,away_team,match_week
2024-08-15,17:00,Athletic Club - Getafe CF,Alejandro Muñiz Ruiz,1 - 1,1,1,Athletic Club,Getafe CF,1
2024-08-15,19:30,Real Betis - Girona FC,Miguel Ángel Ortiz Arias,1 - 1,1,1,Real Betis,Girona FC,1
2024-08-16,17:00,RC Celta - Deportivo Alavés,Alejandro Quintero González,2 - 1,2,1,RC Celta,Deportivo Alavés,1
2024-08-16,19:30,UD Las Palmas - Sevilla FC,Francisco José Hernández Maeso,2 - 2,2,2,UD Las Palmas,Sevilla FC,1
2024-08-17,17:00,CA Osasuna - CD Leganés,Juan Luis Pulido Santana,1 - 1,1,1,CA Osasuna,CD Leganés,1
2024-08-17,19:30,Valencia CF - FC Barcelona,José María Sánchez Martínez,1 - 2,1,2,Valencia CF,FC Barcelona,1
2024-08-18,17:00,Real Sociedad - Rayo Vallecano,Alejandro José Hernández Hernández,1 - 2,1,2,Real Sociedad,Rayo Vallecano,1
2024-08-18,19:30,RCD Mallorca - Real Madrid,César Soto Grado,1 - 1,1,1,RCD Mallorca,Real Madrid,1
2024-08-19,17:00,Real Valladolid CF - RCD Espanyol de Barcelona,Pablo González Fuertes,1 - 0,1,0,Real Valladolid CF,RCD Espanyol de Barcelona,1
2024-08-19,19:30,Villarreal CF - Atlético de Madrid,Guillermo Cuadra Fernández,2 - 2,2,2,Villarreal CF,Atlético de Madrid,1
2024-08-23,17:00,RC Celta - Valencia CF,José Luis Munuera Montero,3 - 1,3,1,RC Celta,Valencia CF,2
2024-08-23,19:30,Sevilla FC - Villarreal CF,Isidro Díaz de Mera Escuderos,1 - 2,1,2,Sevilla FC,Villarreal CF,2
2024-08-24,15:00,CA Osasuna - RCD Mallorca,Adrián Cordero Vega,1 - 0,1,0,CA Osasuna,RCD Mallorca,2
2024-08-24,17:00,FC Barcelona - Athletic Club,Jesús Gil Manzano,2 - 1,2,1,FC Barcelona,Athletic Club,2
2024-08-24,19:30,Getafe CF - Rayo Vallecano,Javier Alberola Rojas,0 - 0,0,0,Getafe CF,Rayo Vallecano,2
2024-08-24,19:30,RCD Espanyol de Barcelona - Real Sociedad,Mario Melero López,0 - 1,0,1,RCD Espanyol de Barcelona,Real Sociedad,2
2024-08-25,15:00,Real Madrid - Real Valladolid CF,Víctor García Verdura,3 - 0,3,0,Real Madrid,Real Valladolid CF,2
2024-08-25,17:00,CD Leganés - UD Las Palmas,Ricardo De Burgos Bengoetxea,2 - 1,2,1,CD Leganés,UD Las Palmas,2
2024-08-25,17:15,Deportivo Alavés - Real Betis,Mateo Busquets Ferrer,0 - 0,0,0,Deportivo Alavés,Real Betis,2
2024-08-25,19:30,Atlético de Madrid - Girona FC,Juan Martínez Munuera,3 - 0,3,0,Atlético de Madrid,Girona FC,2
2024-08-15,17:00,Athletic Club - Getafe CF,Alejandro Muñiz Ruiz,1 - 1,1,1,Athletic Club,Getafe CF,1
2024-08-15,19:30,Real Betis - Girona FC,Miguel Ángel Ortiz Arias,1 - 1,1,1,Real Betis,Girona FC,1
2024-08-16,17:00,RC Celta - Deportivo Alavés,Alejandro Quintero González,2 - 1,2,1,RC Celta,Deportivo Alavés,1
2024-08-16,19:30,UD Las Palmas - Sevilla FC,Francisco José Hernández Maeso,2 - 2,2,2,UD Las Palmas,Sevilla FC,1
2024-08-17,17:00,CA Osasuna - CD Leganés,Juan Luis Pulido Santana,1 - 1,1,1,CA Osasuna,CD Leganés,1
2024-08-17,19:30,Valencia CF - FC Barcelona,José María Sánchez Martínez,1 - 2,1,2,Valencia CF,FC Barcelona,1
2024-08-18,17:00,Real Sociedad - Rayo Vallecano,Alejandro José Hernández Hernández,1 - 2,1,2,Real Sociedad,Rayo Vallecano,1
2024-08-18,19:30,RCD Mallorca - Real Madrid,César Soto Grado,1 - 1,1,1,RCD Mallorca,Real Madrid,1
2024-08-19,17:00,Real Valladolid CF - RCD Espanyol de Barcelona,Pablo González Fuertes,1 - 0,1,0,Real Valladolid CF,RCD Espanyol de Barcelona,1
